probe,arch,layer,domain,aggregation,n,auroc,tpr@1%fpr,tpr@5%fpr,threshold,TP,TN,FP,FN
logreg/L21,logreg,21,healthcare,top5_mean,157,0.8355,0.0,0.4717,1.0,31,98,6,22
logreg/L28,logreg,28,social,mean,147,0.8351,0.2817,0.4789,0.1235,54,65,11,17
logreg/L36,logreg,36,social,threshold_05,147,0.8351,0.2254,0.4789,0.0446,50,62,14,21
logreg/L28,logreg,28,social,top10_mean,147,0.8347,0.1972,0.4225,0.9703,51,61,15,20
logreg/L27,logreg,27,healthcare,threshold_05,157,0.8346,0.3774,0.434,0.114,38,89,15,15
mlp/L40,mlp,40,social,top10_mean,147,0.8345,0.2535,0.4225,0.5975,55,57,19,16
logreg/L23,logreg,23,healthcare,threshold_05,157,0.8342,0.3962,0.6226,0.2632,36,96,8,17
logreg/L22,logreg,22,healthcare,top10_mean,157,0.8338,0.0,0.3774,0.9999,37,90,14,16
mlp/L30,mlp,30,healthcare,max,157,0.8336,0.1132,0.3019,0.6821,48,64,40,5
logreg/L40,logreg,40,healthcare,top10_mean,157,0.8331,0.3585,0.566,0.6882,34,92,12,19
logreg/L21,logreg,21,healthcare,top10_mean,157,0.8326,0.3585,0.5472,0.999,38,86,18,15
logreg/L20,logreg,20,healthcare,top10_mean,157,0.8323,0.4151,0.5849,1.0,31,100,4,22
logreg/L25,logreg,25,healthcare,max,157,0.8323,0.0,0.0,1.0,46,74,30,7
logreg/L25,logreg,25,social,mean,147,0.8323,0.1127,0.2254,0.1201,58,54,22,13
logreg/L37,logreg,37,healthcare,top5_mean,157,0.8322,0.1887,0.3962,0.7882,48,67,37,5
svm_rbf/L50,svm_rbf,50,healthcare,max,157,0.8322,0.1321,0.3585,0.4591,40,82,22,13
logreg/L41,logreg,41,healthcare,top10_mean,157,0.832,0.3585,0.5094,0.6048,37,85,19,16
logreg/L37,logreg,37,healthcare,threshold_05,157,0.8316,0.1509,0.3019,0.0603,38,87,17,15
logreg/L28,logreg,28,healthcare,max,157,0.8314,0.1887,0.3019,0.9965,48,64,40,5
logreg/L30,logreg,30,social,mean,147,0.8314,0.4648,0.4789,0.0395,56,60,16,15
logreg/L30,logreg,30,healthcare,threshold_05,157,0.831,0.1321,0.3396,0.0355,38,87,17,15
svm_rbf/L70,svm_rbf,70,healthcare,top10_mean,157,0.8306,0.1509,0.4717,0.442,38,89,15,15
logreg/L25,logreg,25,social,threshold_05,147,0.8305,0.0986,0.1972,0.1161,56,55,21,15
svm_rbf/L70,svm_rbf,70,healthcare,top5_mean,157,0.8299,0.1698,0.4717,0.4535,35,92,12,18
logreg/L36,logreg,36,healthcare,top5_mean,157,0.8296,0.2453,0.3962,0.7302,39,84,20,14
logreg/L40,logreg,40,healthcare,mean,157,0.8291,0.3019,0.5094,0.0338,43,75,29,10
svm_rbf/L22,svm_rbf,22,healthcare,top5_mean,157,0.8289,0.0189,0.3019,0.5899,48,77,27,5
logreg/L28,logreg,28,social,threshold_05,147,0.8288,0.3662,0.4507,0.1111,54,65,11,17
svm_rbf/L40,svm_rbf,40,social,top5_mean,147,0.8286,0.0563,0.1831,0.4311,51,65,11,20
logreg/L41,logreg,41,healthcare,mean,157,0.828,0.3962,0.4906,0.043,38,86,18,15
logreg/L29,logreg,29,economy,top10_mean,132,0.8271,0.1579,0.3333,0.8744,43,65,10,14
svm_rbf/L30,svm_rbf,30,social,threshold_05,147,0.8268,0.1127,0.5493,0.2237,49,68,8,22
logreg/L22,logreg,22,social,max,147,0.8259,0.0,0.0,1.0,61,56,20,10
mlp/L22,mlp,22,social,max,147,0.8255,0.0,0.0,1.0,62,55,21,9
logreg/L43,logreg,43,social,last,147,0.8248,0.2676,0.4648,0.0001,56,55,21,15
logreg/L33,logreg,33,social,top10_mean,147,0.8245,0.2817,0.4085,0.3446,55,58,18,16
svm_rbf/L45,svm_rbf,45,social,top10_mean,147,0.8245,0.2113,0.3803,0.4065,58,54,22,13
logreg/L29,logreg,29,economy,top10_mean_pooled,746,0.8244,0.1939,0.5152,0.6995,234,336,80,96
logreg/L29,logreg,29,education,top10_mean_pooled,746,0.8244,0.1939,0.5152,0.6995,234,336,80,96
logreg/L29,logreg,29,entertainment,top10_mean_pooled,746,0.8244,0.1939,0.5152,0.6995,234,336,80,96
logreg/L29,logreg,29,healthcare,top10_mean_pooled,746,0.8244,0.1939,0.5152,0.6995,234,336,80,96
logreg/L29,logreg,29,social,top10_mean_pooled,746,0.8244,0.1939,0.5152,0.6995,234,336,80,96
mlp/L40,mlp,40,healthcare,top10_mean,157,0.8242,0.3019,0.4906,0.5763,33,94,10,20
logreg/L38,logreg,38,social,mean,147,0.8241,0.1408,0.4789,0.0839,53,64,12,18
logreg/L39,logreg,39,healthcare,mean,157,0.8237,0.3396,0.5283,0.0519,35,94,10,18
mlp/L35,mlp,35,education,mean,150,0.8236,0.375,0.6,0.1598,29,96,14,11
logreg/L34,logreg,34,healthcare,top5_mean,157,0.8233,0.283,0.434,0.4267,44,71,33,9
logreg/L43,logreg,43,healthcare,top10_mean,157,0.8233,0.3774,0.5094,0.4723,38,81,23,15
logreg/L20,logreg,20,healthcare,top5_mean,157,0.8228,0.0,0.566,1.0,30,99,5,23
logreg/L35,logreg,35,economy,top10_mean_pooled,746,0.8228,0.1424,0.3121,0.7145,258,309,107,72
logreg/L35,logreg,35,education,top10_mean_pooled,746,0.8228,0.1424,0.3121,0.7145,258,309,107,72
logreg/L35,logreg,35,entertainment,top10_mean_pooled,746,0.8228,0.1424,0.3121,0.7145,258,309,107,72
logreg/L35,logreg,35,healthcare,top10_mean_pooled,746,0.8228,0.1424,0.3121,0.7145,258,309,107,72
logreg/L35,logreg,35,social,top10_mean_pooled,746,0.8228,0.1424,0.3121,0.7145,258,309,107,72
svm_rbf/L45,svm_rbf,45,education,mean,150,0.8225,0.275,0.375,0.3293,31,89,21,9
logreg/L39,logreg,39,healthcare,top10_mean,157,0.822,0.3396,0.566,0.759,30,99,5,23
logreg/L27,logreg,27,healthcare,top5_mean,157,0.8208,0.1132,0.4906,0.9976,36,85,19,17
logreg/L38,logreg,38,social,threshold_05,147,0.8183,0.1268,0.4789,0.0702,49,64,12,22
logreg/L41,logreg,41,healthcare,top5_mean,157,0.8182,0.3774,0.4717,0.8395,35,84,20,18
